date,amfi_code,daily_return
2022-01-03,100016,
2022-01-03,100025,
2022-01-03,100033,
2022-01-03,101206,
2022-01-03,101207,
2022-01-03,101208,
2022-01-03,102885,
2022-01-03,102886,
2022-01-03,102887,
2022-01-03,118632,
2022-01-03,118633,
2022-01-03,118634,
2022-01-03,118635,
2022-01-03,118636,
2022-01-03,119092,
2022-01-03,119093,
2022-01-03,119094,
2022-01-03,119095,
2022-01-03,119120,
2022-01-03,119551,
2022-01-03,119552,
2022-01-03,119598,
2022-01-03,119599,
2022-01-03,120503,
2022-01-03,120504,
2022-01-03,120505,
2022-01-03,120506,
2022-01-03,120507,
2022-01-03,120841,
2022-01-03,120842,
2022-01-03,120843,
2022-01-03,120844,
2022-01-03,125497,
2022-01-03,125498,
2022-01-03,148567,
2022-01-03,148568,
2022-01-03,148569,
2022-01-03,149322,
2022-01-03,149323,
2022-01-03,149324,
2022-01-04,100016,-0.010305675278522441
2022-01-04,100025,-0.0035528500697270538
2022-01-04,100033,-0.013327956578670475
2022-01-04,101206,0.0011530660807157478
2022-01-04,101207,-0.010864943899454582
2022-01-04,101208,-0.0001409531716876078
2022-01-04,102885,0.01112238630597906
2022-01-04,102886,0.011314396368528934
2022-01-04,102887,-0.010458879135153754
2022-01-04,118632,-0.0007143874361195124
2022-01-04,118633,-0.014678829084681988
2022-01-04,118634,-0.003672533845770931
2022-01-04,118635,-0.00971805089501887
2022-01-04,118636,0.003127988524067593
2022-01-04,119092,-0.00656057563760426
2022-01-04,119093,-0.00018654039316978732
2022-01-04,119094,-0.003597243431041064
2022-01-04,119095,0.01875721101672001
2022-01-04,119120,0.0026507447952139884
2022-01-04,119551,-0.0007023918095966364
2022-01-04,119552,-0.018306189594196276
2022-01-04,119598,-0.01473510633799846
2022-01-04,119599,-0.018716208860989125
2022-01-04,120503,0.00423117676896223
2022-01-04,120504,-0.011466829821405344
2022-01-04,120505,-0.01989961139896379
2022-01-04,120506,0.0005186955598572851
2022-01-04,120507,0.00048049885089729294
2022-01-04,120841,0.0035502851321613793
2022-01-04,120842,0.017329159054509713
2022-01-04,120843,0.018159561317569795
2022-01-04,120844,0.00024284483353276265
2022-01-04,125497,0.0010013491166471766
2022-01-04,125498,-0.00501033615682045
2022-01-04,148567,0.019317764485832445
2022-01-04,148568,0.01586546409961498
2022-01-04,148569,0.008377797796410569
2022-01-04,149322,-0.00859180782981206
2022-01-04,149323,0.000481760643978868
2022-01-04,149324,-0.010498106055968681
2022-01-05,100016,0.012865147173222402
2022-01-05,100025,-4.9574044555633634e-05
2022-01-05,100033,-0.0043862505627935144
2022-01-05,101206,0.0038664088624247306
2022-01-05,101207,0.0006028122501933186
2022-01-05,101208,0.0003823652379790765
2022-01-05,102885,-0.007878079592923748
2022-01-05,102886,0.00677883491572473
2022-01-05,102887,-0.005307983077498357
2022-01-05,118632,0.00591309548562835
2022-01-05,118633,-0.010679486352197176
2022-01-05,118634,0.0028654918101833626
2022-01-05,118635,-0.01360445415603051
2022-01-05,118636,7.282501473060421e-05
2022-01-05,119092,-0.007510573515811081
2022-01-05,119093,-0.0028632116767368654
2022-01-05,119094,0.01659501062351043
2022-01-05,119095,0.019897587321759058
2022-01-05,119120,0.004416484421596811
2022-01-05,119551,0.006246848975296038
2022-01-05,119552,-0.005105670642393756
2022-01-05,119598,-0.005160955171965909
2022-01-05,119599,-0.0011368054499045765
2022-01-05,120503,0.005752012755088298
2022-01-05,120504,0.01392250288860808
2022-01-05,120505,0.030351840754774706
2022-01-05,120506,0.0072005900565965675
2022-01-05,120507,0.0006572641859228234
2022-01-05,120841,-0.0015429004722626871
2022-01-05,120842,0.015399561097477754
2022-01-05,120843,-0.01230433199854375
2022-01-05,120844,0.0004624373099149093
2022-01-05,125497,0.00425036186573613
2022-01-05,125498,-0.005184274197339134
2022-01-05,148567,-0.003939476458800328
2022-01-05,148568,-0.007659560517787267
2022-01-05,148569,0.01529353555205848
2022-01-05,149322,-0.006480103251245817
2022-01-05,149323,0.008670063694267593
2022-01-05,149324,-0.0025932923306100086
2022-01-06,100016,-0.011377473794089044
2022-01-06,100025,-0.0018800935089104964
2022-01-06,100033,-0.005166856276071274
2022-01-06,101206,-0.0021276290437670653
2022-01-06,101207,-0.029100910221989462
2022-01-06,101208,-0.0001434930256276612
2022-01-06,102885,0.01527676872993089
2022-01-06,102886,0.03112680926740108
2022-01-06,102887,0.01267825135414924
2022-01-06,118632,0.003539543482502072
2022-01-06,118633,0.00022176564589249104
2022-01-06,118634,-0.008739904215863459
2022-01-06,118635,0.0036690355635018435
2022-01-06,118636,0.00021183916111700007
2022-01-06,119092,0.009925844102472992
2022-01-06,119093,-0.009811329807011826
2022-01-06,119094,-0.0002457144509006026
2022-01-06,119095,-0.0004306103489410962
2022-01-06,119120,0.003598241174058714
2022-01-06,119551,0.014045411241083272
2022-01-06,119552,-0.011091013614885181
2022-01-06,119598,0.004824474274200297
2022-01-06,119599,-0.007924386209114176
2022-01-06,120503,0.011688443989298136
2022-01-06,120504,0.0038931418002672302
2022-01-06,120505,-0.00491654768854477
2022-01-06,120506,-0.006553352877645469
2022-01-06,120507,0.0001363303164716445
2022-01-06,120841,0.009173658015580788
2022-01-06,120842,0.004295971727924952
2022-01-06,120843,0.008508951233409334
2022-01-06,120844,0.0006502296634043336
2022-01-06,125497,-0.0035889569026816837
2022-01-06,125498,-0.0027061599933333458
2022-01-06,148567,0.011891810045088436
2022-01-06,148568,-0.004708844510202148
2022-01-06,148569,0.000862976286765349
2022-01-06,149322,-0.0038182773644422907
2022-01-06,149323,-0.013860718408296946
2022-01-06,149324,-0.008381887580739433
2022-01-07,100016,-0.001209993253041941
2022-01-07,100025,0.0020364653380609
2022-01-07,100033,-0.005748320388812123
2022-01-07,101206,-0.006314138178965978
2022-01-07,101207,0.024766298409615084
2022-01-07,101208,0.00021527042824653897
2022-01-07,102885,-0.009369216617249654
2022-01-07,102886,-0.008835135493370339
2022-01-07,102887,-0.016497903698783678
2022-01-07,118632,-0.005792801466367847
2022-01-07,118633,0.006490641173619194
2022-01-07,118634,-0.020607004482260827
2022-01-07,118635,0.0029221031957511467
2022-01-07,118636,0.00019855715136674057
2022-01-07,119092,0.009330655089742734
2022-01-07,119093,0.00821512930773416
2022-01-07,119094,-0.018524194364527458
2022-01-07,119095,0.03248200739868978
2022-01-07,119120,-0.0024653616685567092
2022-01-07,119551,-0.0015472004327833355
2022-01-07,119552,0.015111019736842035
2022-01-07,119598,0.032829666450137074
