investor_id,state,city,city_tier,age_group,gender,annual_income_lakh,kyc_status
INV000081,Gujarat,Surat,T30,36-45,Male,31.0,Verified
INV002328,Haryana,Gurugram,T30,26-35,Male,11.6,Verified
INV002338,Delhi,New Delhi,T30,26-35,Male,23.6,Verified
INV002387,Telangana,Hyderabad,T30,26-35,Male,13.1,Verified
INV002432,Haryana,Gurugram,T30,46-55,Female,48.1,Verified
INV002592,Madhya Pradesh,Bhopal,B30,26-35,Female,15.7,Verified
INV002782,Punjab,Chandigarh,T30,18-25,Male,3.7,Verified
INV002885,Delhi,Gurugram,T30,26-35,Male,23.4,Pending
INV002893,Telangana,Hyderabad,T30,56+,Male,69.4,Pending
INV002942,Delhi,Noida,T30,36-45,Male,27.8,Verified
INV002952,Punjab,Amritsar,B30,18-25,Male,7.1,Verified
INV002966,Gujarat,Ahmedabad,T30,26-35,Female,18.4,Verified
INV003054,Telangana,Hyderabad,T30,56+,Female,77.1,Verified
INV003329,Madhya Pradesh,Indore,T30,56+,Male,25.2,Verified
INV002316,Punjab,Amritsar,B30,26-35,Male,16.7,Verified
INV003420,Haryana,Faridabad,B30,36-45,Male,47.2,Verified
INV003664,Rajasthan,Udaipur,B30,46-55,Male,29.4,Verified
INV003670,Punjab,Chandigarh,T30,36-45,Male,38.4,Verified
INV004128,Haryana,Faridabad,B30,18-25,Male,3.3,Verified
INV004154,Karnataka,Mysore,B30,18-25,Male,4.7,Verified
INV004174,Rajasthan,Udaipur,B30,18-25,Male,4.7,Verified
INV004308,Gujarat,Surat,T30,26-35,Female,11.1,Verified
INV004347,West Bengal,Kolkata,T30,36-45,Male,20.5,Verified
INV004548,Delhi,Noida,T30,36-45,Female,58.1,Verified
INV004648,Maharashtra,Pune,T30,36-45,Male,54.3,Pending
INV004691,Delhi,Noida,T30,26-35,Male,14.5,Pending
INV004770,Gujarat,Surat,T30,18-25,Female,5.2,Verified
INV004915,Uttar Pradesh,Kanpur,B30,26-35,Male,9.6,Verified
INV004918,Punjab,Amritsar,B30,56+,Female,46.9,Verified
INV003436,Maharashtra,Mumbai,T30,36-45,Female,54.4,Pending
INV002253,West Bengal,Kolkata,T30,46-55,Male,28.6,Verified
INV002984,Delhi,Gurugram,T30,26-35,Male,18.1,Verified
INV002166,Haryana,Gurugram,T30,36-45,Male,33.3,Verified
INV000097,Karnataka,Mysore,B30,18-25,Male,6.0,Verified
INV002219,Karnataka,Mysore,B30,26-35,Male,6.9,Verified
INV000368,Uttar Pradesh,Agra,B30,26-35,Male,16.2,Verified
INV000428,Delhi,Gurugram,T30,36-45,Male,27.2,Verified
INV000437,Telangana,Hyderabad,T30,26-35,Female,6.1,Verified
INV000467,Karnataka,Bangalore,T30,18-25,Female,7.1,Verified
INV000478,Gujarat,Surat,T30,36-45,Female,16.5,Verified
INV000488,Karnataka,Mysore,B30,56+,Male,31.4,Verified
INV000548,Karnataka,Mysore,B30,36-45,Male,53.2,Verified
INV000576,Delhi,New Delhi,T30,46-55,Male,79.7,Verified
INV000600,Maharashtra,Mumbai,T30,26-35,Male,17.3,Verified
INV000603,West Bengal,Kolkata,T30,26-35,Male,17.3,Verified
INV000609,Tamil Nadu,Coimbatore,B30,18-25,Male,3.9,Verified
INV000616,Maharashtra,Nashik,B30,36-45,Male,50.4,Verified
INV000786,Madhya Pradesh,Bhopal,B30,26-35,Male,17.9,Verified
INV000234,Tamil Nadu,Coimbatore,B30,26-35,Male,23.8,Verified
INV000836,Haryana,Gurugram,T30,26-35,Male,24.4,Verified
INV000797,Rajasthan,Jaipur,T30,36-45,Female,53.7,Verified
INV002139,Haryana,Gurugram,T30,36-45,Female,28.6,Verified
INV002054,Telangana,Hyderabad,T30,26-35,Male,17.8,Verified
INV001665,Telangana,Hyderabad,T30,36-45,Male,35.1,Verified
INV001540,Maharashtra,Pune,T30,26-35,Female,17.3,Verified
INV001497,Maharashtra,Mumbai,T30,36-45,Male,56.8,Verified
INV002157,Punjab,Chandigarh,T30,26-35,Male,16.9,Verified
INV001041,Madhya Pradesh,Bhopal,B30,18-25,Male,5.1,Verified
INV001023,Gujarat,Ahmedabad,T30,36-45,Male,27.1,Verified
INV000983,Telangana,Hyderabad,T30,36-45,Male,33.5,Verified
INV000968,Tamil Nadu,Chennai,T30,36-45,Female,37.1,Verified
INV000852,Maharashtra,Nashik,B30,26-35,Female,18.1,Verified
INV001400,Tamil Nadu,Coimbatore,B30,36-45,Male,36.5,Verified
INV003649,Haryana,Gurugram,T30,46-55,Female,79.9,Verified
INV003505,West Bengal,Kolkata,T30,56+,Female,53.5,Verified
INV003383,Karnataka,Mysore,B30,18-25,Male,4.6,Verified
INV002961,Gujarat,Ahmedabad,T30,26-35,Male,13.0,Verified
INV003232,Maharashtra,Pune,T30,36-45,Female,30.9,Verified
INV003028,Tamil Nadu,Chennai,T30,26-35,Female,12.8,Verified
INV003208,Madhya Pradesh,Bhopal,B30,46-55,Male,80.0,Verified
INV003027,Telangana,Hyderabad,T30,26-35,Male,20.8,Verified
INV002981,Maharashtra,Mumbai,T30,18-25,Female,7.3,Verified
INV002976,Tamil Nadu,Coimbatore,B30,26-35,Male,23.7,Verified
INV003658,West Bengal,Kolkata,T30,26-35,Male,6.3,Verified
INV003225,West Bengal,Kolkata,T30,26-35,Male,9.2,Verified
INV003821,Delhi,Noida,T30,18-25,Female,6.4,Pending
INV004414,Uttar Pradesh,Lucknow,T30,26-35,Male,6.6,Verified
INV003892,Punjab,Amritsar,B30,46-55,Male,24.4,Verified
INV003926,West Bengal,Kolkata,T30,46-55,Male,92.8,Verified
INV003942,Haryana,Faridabad,B30,26-35,Female,23.3,Verified
INV004127,Madhya Pradesh,Indore,T30,36-45,Female,27.3,Verified
INV004296,Telangana,Hyderabad,T30,26-35,Male,18.2,Verified
INV004502,Rajasthan,Udaipur,B30,36-45,Male,59.0,Verified
INV004514,Haryana,Faridabad,B30,46-55,Male,40.1,Verified
INV004516,Haryana,Gurugram,T30,36-45,Male,14.4,Verified
INV004567,Telangana,Hyderabad,T30,56+,Male,75.0,Verified
INV004582,Tamil Nadu,Chennai,T30,56+,Male,67.1,Verified
INV004656,Haryana,Gurugram,T30,18-25,Male,4.7,Verified
INV004658,Punjab,Chandigarh,T30,56+,Male,48.7,Verified
INV002940,Haryana,Faridabad,B30,26-35,Male,18.3,Verified
INV003865,Gujarat,Ahmedabad,T30,18-25,Female,3.3,Verified
INV002868,Gujarat,Ahmedabad,T30,26-35,Female,24.7,Verified
