amfi_code,sharpe_ratio,sortino_ratio,max_drawdown,annualized_volatility,cagr_1yr,cagr_3yr,cagr_5yr,scheme_name,fund_house,category,sub_category,plan,risk_category,expense_ratio_pct,alpha_annualized,beta,aum_crore,morningstar_rating,return_rank,sharpe_rank,alpha_rank,expense_rank_inverse,drawdown_rank_inverse,fund_score
148567,1.0682238272314732,1.490738952294708,-0.11265729075028275,0.12025007220633226,0.1364948399383572,0.22370441108299954,0.20462186043324393,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,Regular,Moderate,1.46,0.2698375144191807,0.023683558075848623,11361,5,97.5,100.0,85.0,45.0,82.5,86.25
120505,0.8832556184698839,1.2858427838168305,-0.18188513572116294,0.16331148626873557,0.19606424190421,0.20966276886698343,0.21635659017888687,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,Regular,High,1.36,0.2926358334175106,0.000549004250631712,979,3,90.0,92.5,95.0,65.0,40.0,82.875
120843,0.965560651744012,1.4795034584167766,-0.1297396816518679,0.13454333708270202,0.17721697531451253,0.1957295561946948,0.20419887254007207,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,Regular,Moderately High,1.45,0.27330465038306057,-0.02282956979242654,35012,5,85.0,97.5,90.0,47.5,70.0,82.0
100033,0.8082678003905593,1.1442164603950202,-0.16217208574644848,0.16029119278668055,0.3426662757093495,0.21386970347820866,0.19921655341786848,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,Regular,High,1.38,0.2719535450128533,0.0051035258305283104,23185,5,92.5,85.0,87.5,60.0,52.5,80.75
120504,0.7146822636441237,1.0639638792991957,-0.12588275606922517,0.12159171405589163,0.08846997427855596,0.21415398441228883,0.1554390913284538,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,Direct,Moderate,0.8,0.2119482701352573,0.016232169761417007,41553,3,95.0,75.0,70.0,72.5,72.5,79.375
119094,0.7305467735561727,1.0552844773147763,-0.20960883862039192,0.1642463139678321,0.14885366123085508,0.23069305202112678,0.18705211486277373,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,Regular,High,1.38,0.2607666908004223,-0.06626542862803757,28996,5,100.0,80.0,80.0,60.0,32.5,78.25
119551,0.8609773262277756,1.2914833497690066,-0.1501238549864533,0.11636541830220329,0.38594225525770476,0.2012851827004558,0.17161430066431982,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,Regular,Moderate,1.54,0.23201007160635082,-0.03175144113890972,14288,4,87.5,90.0,77.5,26.25,60.0,74.1875
148569,0.9190465356358282,1.3528150221233652,-0.1639674294693263,0.1496454949053764,0.2599585744554356,0.19315769580157993,0.2108043760036229,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,Regular,High,1.6,0.2827036785246582,0.018133884083859245,2989,5,82.5,95.0,92.5,11.25,50.0,73.6875
119598,0.7116901743847246,1.0672557743438265,-0.2870600572176455,0.21273031336024348,0.5164634961407528,0.17712405265155495,0.2138037125961776,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,Regular,Very High,1.43,0.3033696538698332,-0.02319606204405969,19259,5,72.5,70.0,100.0,50.0,12.5,68.0
101206,0.717408995989017,1.0639085968011799,-0.11291596329323073,0.12332110247769963,0.3103785809157895,0.19181172352704046,0.15701133043947246,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,Regular,Moderate,1.6,0.21399784776051212,0.021086316250128034,23500,5,80.0,77.5,72.5,11.25,80.0,67.5625
